,channel,text,datetime,label
1,bad kpi,"#фмм, 3 курс мені написала студентка з мого факультету і попросила допомогти. у них викладає гребньов і вони групою написали проти нього заяву в деканат. нажаль, цей викладач у мене не викладає і я не можу від себе розповісти щось про нього , лише безліч слухів що ходять на факультеті.
про викладача. перед тим як написати цей пост написав старостам груп у яких він викладав і ось факти які всплили. за їх словами, викладач постійно фліртує із студентками. фліртом я називаю (цитата) «я бы может и хотел вас раздеть, но я вам этого не скажу», переписки у особистих повідомленнях та гірші речі, які краще напишуть ті хто із цим стикався. також, були ситуації коли викладач ставив додаткові бали та закривав предмети, коли студенти допомагали йому у його проектах. я із цим стикнувся одного разу, нам на предметі маркетинг дали завдання по smm, написати рекламні публікації для інстакемп (літній лагер для студентів та школярів). як виявилось це справжній літній лагер і ми повинні були його розрекламувати (точніше все це на добровільних засадах, але просили дуже сильно, а також гребньов у чаті питав, чому не всі групи зробили публікації). реклама полягала у тому, що кожна публікація повинна набрати певну кількість лайків, причому підписників ми також маємо заохочувати. у гребньова у статусі в телеграмі написаний один із хештегів лагерю, а також він повністю керував рекламою лагеря (типу кейсом по смм на 5 балів), та питав чому не всі лайки від підписників і обіцяв якийсь цінний приз тим хто набере найбільше лайків (якщо я не помиляюсь, це не точно, поїздку у туреччину, причому із ним😉). до речі, минулого року було теж саме, а призу ніхто і не побачив, просто цікавий факт. це мій приклад, були й інші, але я все ще топлю за те щоб кожен написав, сам про те із чим стикався.
також викладач часто їздить із студентами фмм на різні студентські виїзди історії звідти також було б круто прочитати саме від тих хто був із викладачем на цих виїздах.
для ребят, що вважають, що викладач, який бухає із студентами і пікапить їх одногрупниць це круто - вибачте за банальний приклад, але дуже сподіваюсь, що ваша майбутня дочка не стикатиметься із цим коли сама буде студенткою. 
я писав багатьом студентам і чув від них, що були ситуації за які гребньова треба звільнити. будь ласка не мовчіть та розкажіть про те що із вами сталось. сьогодні після обіду, буде проходити засідання кафедри і підніматиметься питання про цього викладача. якщо вам є, що сказати про гребньова, необхідно віднести скаргу в деканат фмм до 14.00.",2019-03-20 04:50:58+02:00,-1
2,good kpi,"один из туалетов первого корпуса.

поставили ручки и щеколды на двери. в коробке есть туалетная бумага",2019-03-21 15:36:38+02:00,1
3,bad kpi,"#фмм #гребньов
ще трохи про гребньова
на своїх парах він пропагує корупцію та хабарництво, це він називає «подякою» викладачам, але насправді це просто хабарі і просування корупції, а так не має бути. (by the way маю аудіозапис з доказами)",2019-03-20 07:44:01+02:00,-1
4,good kpi,"#итс 
1 курс

скорее на хороший кпи, чем на плохой.
 про преподавателей за 1 семестр (с ними нам реально повезло тогда, хорошие были преподы):

информатика:

ермаков а. в. - классно вел лабы, хорошо объяснял непонятные моменты, отвечал на вопросы, которые возникали в процессе исполнения лаб. так же хорошо спрашивал на защитах.

прищепа т. а.  - у нас вела лекции и практические, у некоторых групп ещё лабы (про них ничего не скажу, сдавать ей не приходилось, говорят что так же, как у ермакова).
материал давала доступно и понятно, слушать ее было интересно. на практических разбирали задачи, но таких занятий было мало (сейчас вообще нет).

ждём пока снова будут вести)

физика:

небезызвестный немировский анатолий владимирович - интересно подаёт материал, иногда шутит, приводит примеры как оно происходит в жизни. на заменах практических (жаль что не у нас) очень хорошо пояснял решения задач.

керита о. а. - ведёт практические, хороший метод преподавания на ошибках: плохо написал летучку - переписывай. хорошо объясняет.

чижская - ведёт лабы с физики, для допуска нужно понимание того что будешь делать и с чем будешь работать, а так же зачем это нужно, при приеме спрашивает теорию, вероятность сдать ""на три"" есть только в конце семестра, а так надо учить))

высшая математика:

гайдей - ведёт лекции, хоть читает он их монотонно, но объясняет понятно и конспекты не требует, так же весь материал есть в электронном виде и к посещению не требователен, за что ему благодарны.

пелехата ольга богдановна - хорошо объясняет методы решения задач, у всех есть возможность у доски понять как что решается. она няша, знает и доносит свой предмет хорошо, иногда шутит)

инженерная и компьютерная графика:

вела этот предмет у нас колосова елена петровна - замечательный преподаватель и человек, хорошо объясняла материал на лекциях, разжевывала как и что надо чертить на бумаге и в автокаде, требовала не много и не мало.
 за все ей спасибо)

история:

перга - классный препод, очень хорошо организовал систему оценивания, кроме семинаров баллы можно было получить за квесты, найти какой-то памятник на территории кпи, который он интересно описал, сходить в музей, известные личности - все это мы проходили помимо семинаров и лекций. сами семинары тоже были интересные, он давал темы и у нас был стимул подготовится, и у тех, кто готовил доклады, и у остальных – подготовка вопросов к докладам.
спасибо, юрий николаевич, вы сделали интересным ""ненужный"" технарям предмет.

английский:

жигжитова - вела у нас в прошлом семестре, находила подход ко всем, и к тем кто хорошо шарит и имеет в2, и к тем кто шарит плохо и тянут на а2. объясняла, работала с теми кто хотел, т. к. не было времени тратить на тех кто забивал. тоже няша)


вот так вот мы ""не уважаем"" преподавателей, мария анатолиевна.",2019-04-09 21:34:19+03:00,1
5,bad kpi,"#фмм, 3 курс
помню тоже было дело! тот же гребнев заставлял делать видео и другую работу для его фонда с угрозами, что экзамен не сдам, а когда все таки поставил оценку в зачетку, то намекнул, что пора бы и бутылку чего-либо благодарственного ему принести за это. 
за пошлости и интим в личку не раз инфа была, девочки скрины кидали.",2019-03-20 07:44:20+02:00,-1
6,good kpi,"ничего не могу сказать про варламова, но скажу про сидоренко ю.м.

кпи тонет в коррупции, и это относится не только к верхам админки (хотя есть и исключения(что радует) да и не отрицаю, что для многих мог быть указ сверху что нужно выбрать мз)

сидоренко юрий михайлович прекрасный человек,  преподаватель, специалист своего дела. он реально тот человек который с одной стороны имеет огромный жизненный опыт, но при этом во всем (начиная от мышления, заканчивая методикой обучения)  максимально старается  следовать европейским традициям и отходить от совковых уставов. это тот человек который может действительно сделать кпи не просто ""лучшим техническим вузом"" , а ""одним из лучших техническим вузом европы"", но этого не будет, по той причине, что большая часть админки и их подчиненные не собираются делать ничего, кроме высасывания последних денег и использования ""мозгов"" студентов ради собственной выгоды",2019-04-11 08:45:18+03:00,1
7,bad kpi,"#фмм #гребнев 
весь семестр разыгрывал баллы играми. суть игры: если выигрывает группа - каждый из присутствующих получает какое-то количество баллов, а если проигрывает - то каждый скидывается деньгами в 2 раза большими, чем были бы баллы.
игры сопровождаются периодическими его психами, что студенты мухлюют.
ладно, выиграли. ты рассчитываешь на свои баллы. и перед последним занятием он психует, что ему ничего группа не подарила, говорит, что ему садятся на шею, а ведь он всё для нас и отменяет все баллы (на последнем занятии! вся группа остаётся с недопуском и начинает стелиться и ублажать его эго)",2019-03-20 07:45:10+02:00,-1
8,good kpi,"#фп
плавання
смірнов констянтин миколайович
це не викладач, і навіть не тренер, це найкращий друг. він завжди скаже тобі те, що думає і допоможе, коли треба. прийти до нього на пару і не навчитись плавати, таке взагалі неможливо! це людина, яка приходить на роботу, щоб,  в першу чергу, нести місію!",2019-04-20 08:45:29+03:00,1
9,bad kpi,#фмм продолжим о гребневе: нажраться на мисс/мистере факультета и начать заливать к студенткам с предложениями выпить и потусить — нормальная практика,2019-03-20 07:45:25+02:00,-1
10,good kpi,"ужаснейший человек, учит он может кого-то нормально, но отношение у него свинское к студентов. начнём с того, что плавательная группа у него делится на 3 части, цитирую: рагули, чайники и люди, если к последним двум отношение ещё норм, то к рагулям вообще не очень. как говорится все в сравнении познаётся, но все остальные преподаватели, хотябы научили всю группу, а этот ... ещё иногда нам указывали девочки-студенты, которые сами не умеют плавать, рассказывали как нам надо плавать 😡🤬 и бесило это больше всего",2019-04-20 16:30:10+03:00,-1
